Month,Dataset,SKU,Actual,Predicted,Iteration
2023-11-01,Train,df_05_amasubs_MEWPI24CHOC,17,47.11,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-12-01,Train,df_05_amasubs_MEWPI24CHOC,104,100.05000000000001,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-01-01,Train,df_05_amasubs_MEWPI24CHOC,195,193.31,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-02-01,Train,df_05_amasubs_MEWPI24CHOC,257,248.27999999999997,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-03-01,Train,df_05_amasubs_MEWPI24CHOC,275,281.15,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-04-01,Train,df_05_amasubs_MEWPI24CHOC,322,333.18,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-05-01,Train,df_05_amasubs_MEWPI24CHOC,382,389.34000000000003,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-06-01,Train,df_05_amasubs_MEWPI24CHOC,439,447.71,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-07-01,Train,df_05_amasubs_MEWPI24CHOC,533,497.99,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-08-01,Train,df_05_amasubs_MEWPI24CHOC,455,487.77,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-09-01,Test,df_05_amasubs_MEWPI24CHOC,20,524.47,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-10-01,Test,df_05_amasubs_MEWPI24CHOC,0,546.4,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-11-01,Test,df_05_amasubs_MEWPI24CHOC,0,592.77,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-12-01,Test,df_05_amasubs_MEWPI24CHOC,0,642.75,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2022-12-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,1,16.35,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-01-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,1,30.12,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-02-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,14,38.42,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-03-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,40,43.97,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-04-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,54,53.879999999999995,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-05-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,75,60.120000000000005,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-06-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,67,67.88,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-07-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,62,77.82,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-08-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,64,72.03,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-09-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,71,71.24,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-10-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,71,74.0,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-11-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,84,78.69,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2023-12-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,68,73.67,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-01-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,94,94.57000000000001,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-02-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,97,98.57,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-03-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,110,107.65,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-04-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,98,102.43,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-05-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,115,114.32,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-06-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,107,115.38,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-07-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,146,143.25,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-08-01,Train,df_07_amasubs_MOMENTOUS-HUB-LTHE,160,152.8,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-09-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,11,180.86,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-10-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,0,211.04,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-11-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,0,243.04,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
2024-12-01,Test,df_07_amasubs_MOMENTOUS-HUB-LTHE,0,266.19,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
