Feature,Importance,SKU,Iteration
age,0.5421877532880579,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_day_of_year,0.15547647144337917,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_month,0.14904750876430123,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_week_of_year,0.13376316799488386,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_year,0.01952509850937775,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
order_interval,0.0,df_05_amasubs_MEWPI24CHOC,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
age,0.7412251294972392,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_week_of_year,0.090038956751886,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_day_of_year,0.07257200747140904,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_month,0.057254842039470476,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_year,0.0389090642399953,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
order_interval,0.0,df_07_amasubs_MOMENTOUS-HUB-LTHE,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
age,0.7233973819336305,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_month,0.07171516939158343,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_week_of_year,0.0714364351958337,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_day_of_year,0.06784013820800103,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_year,0.06561087527095144,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
order_interval,0.0,df_15_amasubs_MOMENTOUS-HUB-TYR,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
age,0.5871361757967425,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_week_of_year,0.13764090166971635,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_day_of_year,0.13031274500690976,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_month,0.1299730164498749,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
reg_year,0.01493716107675661,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
order_interval,0.0,df_17_amasubs_MHSLEEP,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
age,0.0,df_19_amasubs_MOMENTOUS-HUB-APG,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30
