Feature,Importance,SKU,Iteration
order_interval,0.8365146487411468,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.12775258651396787,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_week_of_year,0.014311219628210059,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_day_of_year,0.010989641906376878,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_month,0.010431903210298375,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_year,0.0,df_47_comsubs_850030796349,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_week_of_year,0.2594075929730143,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_month,0.23571356822507677,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_year,0.20723868133315818,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_day_of_year,0.18324056022347607,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.11164329764594462,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
order_interval,0.0027562995993299757,df_52_comsubs_COLLPOWSHOTBNDL,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.7945379362198461,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_month,0.1090973293074928,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_day_of_year,0.08867362307878845,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_year,0.0076911113938725635,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_week_of_year,0.0,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
order_interval,0.0,df_56_comsubs_PR300BOTTLE-B,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.29846569985418864,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_year,0.2944770445358152,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
order_interval,0.28184322151586955,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_month,0.03855795841124167,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_week_of_year,0.036651988218996165,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_day_of_year,0.03140701719056603,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
holiday_flag,0.011984171398264668,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
sales_flag,0.006612898875058089,df_18_comsubs_850243008888,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_day_of_year,0.19025428126318608,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_week_of_year,0.18726080980996168,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.17650207000277462,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
order_interval,0.1464536608455261,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_year,0.1415328205662944,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
reg_month,0.11192296491781423,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
holiday_flag,0.03902415338231049,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
sales_flag,0.007049239212132442,df_54_comsubs_PRCollagen,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
age,0.34697885297249814,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
order_interval,0.304614617567214,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
promotional_spends,0.14333733629069678,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
reg_day_of_year,0.06643713508691963,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
reg_month,0.05535077320296862,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
reg_week_of_year,0.05104467653396325,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
reg_year,0.03223660834573959,df_21_comsubs_850243008598,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
