age,reg_month,reg_year,reg_day_of_year,reg_week_of_year,order_interval,reg_date,upgrade_date,Actual,Predicted,Dataset,SKU,Month,Iteration,negative_effect,sales_flag,holiday_flag,stockout_flag
0,11,2023,305,44,2.0,2023-11-01,2023-11-01,17,47.11,Train,df_05_amasubs_MEWPI24CHOC,2023-11-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
1,11,2023,305,44,2.0,2023-11-01,2023-12-01,9,16.15,Train,df_05_amasubs_MEWPI24CHOC,2023-12-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
2,11,2023,305,44,2.0,2023-11-01,2024-01-01,12,15.77,Train,df_05_amasubs_MEWPI24CHOC,2024-01-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
3,11,2023,305,44,2.0,2023-11-01,2024-02-01,12,13.12,Train,df_05_amasubs_MEWPI24CHOC,2024-02-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
4,11,2023,305,44,2.0,2023-11-01,2024-03-01,10,11.3,Train,df_05_amasubs_MEWPI24CHOC,2024-03-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
5,11,2023,305,44,2.0,2023-11-01,2024-04-01,12,19.54,Train,df_05_amasubs_MEWPI24CHOC,2024-04-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
6,11,2023,305,44,2.0,2023-11-01,2024-05-01,10,11.57,Train,df_05_amasubs_MEWPI24CHOC,2024-05-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
7,11,2023,305,44,2.0,2023-11-01,2024-06-01,10,9.86,Train,df_05_amasubs_MEWPI24CHOC,2024-06-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
8,11,2023,305,44,2.0,2023-11-01,2024-07-01,5,6.4,Train,df_05_amasubs_MEWPI24CHOC,2024-07-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
9,11,2023,305,44,2.0,2023-11-01,2024-08-01,1,3.14,Train,df_05_amasubs_MEWPI24CHOC,2024-08-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
0,12,2023,335,48,2.0,2023-12-01,2023-12-01,95,83.9,Train,df_05_amasubs_MEWPI24CHOC,2023-12-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
1,12,2023,335,48,2.0,2023-12-01,2024-01-01,43,44.37,Train,df_05_amasubs_MEWPI24CHOC,2024-01-01,01_amasub_M_NRP2_NSF_NHF_NSto_Nhub_NAS_AP2+23+07+30+24+08+30,,,,
