Month,Dataset,SKU,Actual,Predicted,Iteration
2024-06-01,Train,df_47_comsubs_850030796349,571,565.35,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-07-01,Train,df_47_comsubs_850030796349,1011,978.88,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_47_comsubs_850030796349,1181,1279.98,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_47_comsubs_850030796349,49,1619.09,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_47_comsubs_850030796349,0,1961.4099999999999,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_47_comsubs_850030796349,0,2303.73,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_47_comsubs_850030796349,0,2646.05,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-06-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,1,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-07-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-08-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-09-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,1,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-10-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-11-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-12-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,1,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-01-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-02-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-03-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,1,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-04-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-05-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.05,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-06-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.05,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-07-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,1,0.61,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-08-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.13,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-09-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.01,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-10-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.01,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-11-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-12-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-01-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-02-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.01,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-03-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-04-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-05-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-06-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.01,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-07-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.18,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_52_comsubs_COLLPOWSHOTBNDL,0,0.02,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_52_comsubs_COLLPOWSHOTBNDL,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-09-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-10-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-11-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-12-01,Test,df_56_comsubs_PR300BOTTLE-B,1,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2023-01-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.0,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
